drug_id,drug_name,target_gene,target_pathway
2055,Mycophenolic Acid,,Unclassified
2057,Remodelin,,Unclassified
2096,Vx-11E,ERK2,ERK MAPK signaling
2106,Uprosertib,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
2107,Lji308,"RSK2, RSK1, RSK3",PI3K/MTOR signaling
2109,Az6102,"TNKS1, TNKS2",WNT signaling
2110,Gsk591,PMRT5,Chromatin histone methylation
2111,Ve821,ATR,Genome integrity
2112,Vtp-A,,Unclassified
2113,Vtp-B,,Unclassified
2145,Pbd-288,,Unclassified
2148,Pomhex,,Unclassified
2149,Ct7033-2,"KDM4A, KDM4C, KDM4E, KDM3A, KDM6B",Chromatin histone methylation
2154,Gsk-Lsd1-2Hcl,LSD1,Chromatin histone methylation
2156,5-Azacytidine,DNA methyltransferases,Other
2157,A-366,"EHMT1, EHMT2",Chromatin histone methylation
2158,Cpi-637,EP300,Chromatin histone methylation
2159,Unc0379,SETD8,Chromatin histone methylation
2169,Azd6482,PI3Kbeta,PI3K/MTOR signaling
2170,At13148,AKT1,PI3K/MTOR signaling
2171,Bms-754807,"IGF1R, IR",IGF1R signaling
2172,Jq1,"BRD2, BRD3, BRD4, BRDT",Chromatin other
2173,Pfi-1,BRD4,Chromatin other
2174,Iox2,EGLN1,Other
2175,Chir-99021,"GSK3A, GSK3B",WNT signaling
2177,Sgc0946,DOT1L,Chromatin histone methylation
2359,Gsk2830371,WIP1,Other
2360,Thr-101,Mutant RAS,PI3K/MTOR signaling
2361,Thr-102,Mutant RAS,PI3K/MTOR signaling
2362,Thr-103,Mutant RAS,PI3K/MTOR signaling
2438,Ascorbate (Vitamin C),anti-oxidant proteins,Other
2439,Glutathione,anti-oxidant proteins,Other
2498,Alpha-Lipoic Acid,Metabolism,Metabolism
2499,N-Acetyl Cysteine,Metabolism,Metabolism
